rank,name,frequency
851,Viviana,24602
852,Sallie,24439
853,Maribel,24330
854,Aisha,24303
855,Leanna,24285
856,Chasity,24280
857,Londyn,24264
858,Leann,24250
859,Tatum,24153
860,Rosalind,24131
861,Alanna,24122
862,Nia,24120
863,Hilary,24022
864,Angeline,23989
865,Jeannine,23970
866,Bobbi,23932
867,Lia,23916
868,Paola,23850
869,Eula,23833
870,Arya,23769
871,Jeanine,23755
872,Nyla,23670
873,Bridgette,23650
874,Audra,23615
875,Tiara,23594
876,Emilee,23568
877,Helene,23477
878,Winifred,23469
879,Sidney,23350
880,Deana,23310
881,Ericka,23273
882,Arabella,23266
883,Raegan,23199
884,Kamryn,23145
885,Larissa,23092
886,Maritza,22917
887,Chris,22887
888,Lela,22811
889,Tamika,22753
890,Adelaide,22685
891,India,22648
892,Alessandra,22613
893,Jeri,22581
894,Darcy,22580
895,Emilie,22568
896,Mara,22396
897,Skye,22335
898,Sheena,22333
899,Angelia,22319
900,Danna,22218
901,Addie,22193
902,Tonia,22149
903,Keisha,22090
904,Maddison,22060
905,Glenna,22016
906,Lorie,21833
907,Jayden,21795
908,Emely,21790
909,Latonya,21758
910,Amara,21726
911,Cadence,21652
912,Bettye,21611
913,Noemi,21593
914,Nayeli,21591
915,Marcy,21582
916,Michael,21580
917,Madalyn,21564
918,Lauryn,21546
919,Kaylie,21544
920,Cali,21492
921,Elliana,21491
922,Rosetta,21475
923,Jami,21446
924,Eugenia,21435
925,Rylie,21429
926,Madilyn,21354
927,Rene,21275
928,Etta,21271
929,Rosalyn,21213
930,Kiera,21134
931,Dale,21005
932,Ladonna,20956
933,Fay,20927
934,Baylee,20927
935,Aspen,20912
936,Christi,20898
937,Yasmin,20865
938,James,20732
939,Gemma,20729
940,Sarai,20726
941,Jayda,20591
942,Adelyn,20586
943,Lilliana,20502
944,Kassidy,20487
945,Imogene,20424
946,Brianne,20389
947,Amie,20367
948,Susana,20352
949,Dorothea,20338
950,Maeve,20270
951,Perla,20263
952,Maci,20201
953,Elyse,20186
954,Devon,20169
955,Finley,20161
956,Silvia,20072
957,Macie,20054
958,Francis,20018
959,Kenzie,19996
960,Karissa,19895
961,Mikaela,19864
962,Katy,19857
963,Ina,19847
964,Terrie,19715
965,May,19697
966,Christian,19690
967,Samara,19596
968,Gale,19581
969,Maura,19540
970,Kyleigh,19533
971,Noreen,19465
972,Miracle,19409
973,Essie,19389
974,Lacy,19378
975,Tabatha,19375
976,Nettie,19352
977,Bryanna,19343
978,Ashton,19338
979,Lyric,19324
980,Esperanza,19294
981,Tanisha,19280
982,Kelsie,19274
983,Gia,19251
984,Ruthie,19188
985,Araceli,19158
986,Amira,19122
987,Dulce,19115
988,Matilda,19106
989,Lilah,19075
990,Ollie,19001
991,Kiley,18989
992,Nathalie,18975
993,Rae,18949
994,Precious,18949
995,Melisa,18948
996,Ainsley,18944
997,Fern,18893
998,Nola,18892
999,Kaylin,18874
1000,Robbie,18844
